timestamp,uav_id,x,y,z,vx,vy,vz,speed
9.2,4,145.5578,154.2076,10.2905,-5.0929,-1.059,1.3242,5.3677
9.2,5,154.2892,151.3948,45.914,14.3687,16.8268,9.2092,23.9669
9.2,6,77.2569,73.9661,34.5354,9.6045,32.729,7.6699,34.9609
9.2,7,127.8223,74.3351,31.8379,3.2967,6.8907,-11.5368,13.8365
9.2,8,25.5825,23.1873,33.1145,-6.8733,-4.1702,6.7821,10.518
9.2,9,37.6811,186.2473,30.8774,3.0255,-0.5107,-13.0984,13.453
9.2,10,128.6414,95.224,20.0498,12.2163,-11.8773,5.0198,17.7625
9.2,11,110.9472,31.1773,47.7869,12.1229,1.9397,-2.4918,12.5274
9.2,12,109.9855,50.73,3.9157,-1.6198,10.7845,-10.8859,15.4088
9.2,13,175.0674,94.0067,17.4363,7.5586,11.4688,19.8589,24.1462
9.2,14,122.6237,62.3042,19.2279,7.9636,-1.2266,-13.0662,15.3508
9.2,15,113.0204,174.8899,24.9417,0.3186,3.5137,16.509,16.8818
9.2,16,92.4883,157.2715,45.5275,0.6625,2.0977,5.7976,6.2009
9.2,17,53.0558,137.5033,45.5558,-21.3693,-20.2894,-13.7998,32.5383
9.2,18,2.3944,80.0137,10.9858,-13.2138,-4.8689,-9.8871,17.2066
9.2,19,90.3468,124.8101,34.1627,0.9393,6.1428,-13.481,14.8443
9.2,20,50.0912,114.372,22.6262,-0.9467,-1.7315,7.3337,7.5945
9.2,21,93.7544,134.3581,21.769,18.1391,12.6646,9.3704,24.0255
9.2,22,167.79,24.8146,15.9692,3.059,0.3741,-30.7608,30.9147
9.2,23,41.7882,72.13,31.2536,5.414,3.0842,0.2154,6.2346
9.2,24,1.5834,22.0093,14.5713,-1.6465,1.8707,-9.0203,9.3582
9.2,25,50.9475,104.9005,4.8306,9.0283,-1.429,2.1566,9.3917
9.2,26,54.8295,63.4838,38.3026,-22.0505,-6.7453,0.6494,23.0682
9.2,27,134.144,11.1418,41.1959,0.2494,-8.3951,-31.5377,32.6369
9.2,28,112.2613,14.2369,44.5836,-4.3055,8.9308,15.1826,18.1331
9.2,29,153.7151,121.8384,44.0679,-2.1519,-11.0317,-10.4017,15.3142
9.2,30,130.1242,28.8169,24.262,27.1141,-5.8498,3.6356,27.9752
9.2,31,77.7067,168.8574,26.5421,-15.4851,19.2638,11.5394,27.2771
9.2,32,145.9796,111.5537,27.5899,1.4653,-0.0087,12.3158,12.4027
9.2,33,31.1532,71.9116,6.998,-6.3367,-7.5058,-0.191,9.8248
9.2,34,9.6293,123.3831,39.6825,-0.0358,-4.0412,15.2064,15.7343
9.2,35,31.1739,9.8403,31.8522,-0.3456,25.3776,-12.4476,28.2681
9.2,36,152.196,192.2617,6.458,-6.9672,-8.763,23.3021,25.8519
9.2,37,105.5323,108.0873,11.8351,-16.8165,-1.1648,-18.429,24.9756
9.2,38,28.2449,156.2814,39.5077,22.8706,-6.4265,18.1279,29.8829
9.2,39,86.0302,0.9505,4.0181,3.0218,-2.0627,-12.8013,13.3139
9.2,40,37.5183,108.6544,25.2815,-0.5301,0.4023,15.1759,15.1905
9.2,41,145.2942,106.3283,41.0349,0.8543,-0.2963,6.2046,6.2702
9.2,42,89.4004,187.374,13.4567,22.8935,-20.2313,-5.6082,31.0624
9.2,43,84.3592,133.4565,40.341,-18.8919,-12.0531,1.6883,22.4729
9.2,44,56.6043,107.6388,36.8123,11.5608,6.5574,4.216,13.9437
9.2,45,107.8051,46.9713,4.5749,2.8634,4.5619,-4.5991,7.0825
9.2,46,68.1021,75.637,25.0583,20.1833,10.5851,13.9141,26.7023
9.2,47,16.7445,103.6949,24.3342,17.3525,13.9905,16.0413,27.4621
9.2,48,5.9186,80.2627,20.3511,24.6472,-3.5944,1.9663,24.9854
9.2,49,198.079,4.9748,20.3498,1.1715,4.8351,-9.9377,11.1134
9.3,0,48.2803,179.9215,9.9528,18.8127,-10.468,1.9878,21.6206
9.3,1,1.9208,153.8975,30.34,10.1017,8.911,-19.1349,23.4008
9.3,2,179.2369,31.3696,4.089,-15.2335,-16.0539,15.0771,26.7788
9.3,3,115.4601,180.7942,26.3586,11.328,8.571,-5.0119,15.0634
9.3,4,145.7349,154.4392,9.8398,1.7708,2.3158,-4.5071,5.3677
9.3,5,154.7067,151.449,48.2734,4.1757,0.5419,23.5941,23.9669
9.3,6,74.9725,76.6116,34.6101,-22.8441,26.4548,0.7467,34.9609
9.3,7,126.9409,73.2755,31.9596,-8.8133,-10.5968,1.2171,13.8365
9.3,8,25.5215,23.179,34.1645,-0.6096,-0.083,10.5,10.518
9.3,9,37.1202,185.1542,30.3292,-5.6092,-10.9302,-5.4819,13.453
9.3,10,128.4978,94.9422,21.7977,-1.4355,-2.8181,17.4786,17.7625
9.3,11,111.5997,31.9678,48.507,6.5256,7.9056,7.2009,12.5274
9.3,12,111.3033,51.2264,4.5414,13.1774,4.9639,6.2568,15.4088
9.3,13,173.9232,92.8573,15.6474,-11.442,-11.4937,-17.8889,24.1462
9.3,14,122.4817,62.1002,17.7131,-1.4196,-2.0396,-15.1484,15.3508
9.3,15,111.4683,174.3123,24.6138,-15.5203,-5.7761,-3.2787,16.8818
9.3,16,92.4889,157.2913,44.9078,0.0053,0.198,-6.1978,6.2009
9.3,17,53.324,136.8353,42.3825,2.6819,-6.6797,-31.7321,32.5383
9.3,18,3.8561,80.7664,11.4934,14.6165,7.527,5.0763,17.2066
9.3,19,89.5851,123.9749,35.1249,-7.6174,-8.3516,9.6219,14.8443
9.3,20,50.3693,114.6345,21.97,2.7806,2.6247,-6.5617,7.5945
9.3,21,92.7434,132.8814,23.3719,-10.1106,-14.7668,16.0294,24.0255
9.3,22,167.3672,25.0549,19.0222,-4.2271,2.4031,30.53,30.9147
9.3,23,41.6986,71.6889,31.6849,-0.8962,-4.4119,4.313,6.2346
9.3,24,2.138,22.198,15.3011,5.5455,1.8867,7.2982,9.3582
9.3,25,50.2339,104.6431,5.3843,-7.1359,-2.5733,5.5373,9.3917
